Stimulus type,Shape,stimulus code,net movement,discontinuity fraction
"T, net zero 1","2, 4","[1, 1, 1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1, -1]",0,0
"T, net zero 2","2, 4","[1, 1, -1, 1, -1, -1, 1, -1, -1, 1, 1, -1, 1, -1, -1, 1]",0,0
"C, net zero","2, 4","[1, 1, 1, 1, 1, -1, -1, -1, -1, 1, -1, 1, -1, -1, 1, -1]",0,0
"C, net motion","2, 4","[1, 1, 1, 1, 1, -1, -1, 1, -1, 1, -1, 1, -1, -1, 1, 1]",4,0
"TC, net zero 1","2, 4","[1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, 1, 1, -1, 1, -1]",0,0
"TC, net zero 2","2, 4","[1, 1, 1, 1, 1, -1, 1, -1, 1, 1, -1, 1, 1, -1, -1, -1]",0,0.5
"TX, net zero","2, 4","[1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1, -1]",0,0
"TX, net motion","2, 4","[1, 1, -1, 1, 1, 1, -1, 1, -1, 1, 1, -1, -1, -1, 1, 1]",4,0
"CX, net zero 1","2, 4","[1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, 1, 1]",0,0
"CX, net zero 2","2, 4","[1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1, 1, -1]",0,0
"XTC, net zero","2, 4","[1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1]",0,0
"XTC, net motion","2, 4","[1, 1, 1, -1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1]",4,0
"C, T, CT, net zero 1","4, 2","[1, 1, 1, -1, 1, 1, -1, -1, -1, 1, -1, -1, -1, 1, 1, -1]",0,0.5
"C, T, CT, net zero 2","4, 2","[1, 1, 1, -1, 1, -1, -1, 1, -1, 1, -1, -1, -1, -1, 1, 1]",0,0.5
"C, XT, XCT, net zero","2, 4","[1, 1, 1, -1, 1, 1, -1, -1, -1, 1, -1, -1, -1, 1, 1, -1]",0,0
"C, XT, XCT, net motion","2, 4","[1, 1, 1, 1, 1, -1, 1, 1, -1, -1, -1, 1, -1, 1, -1, 1]",4,0
"T, XC, XCT, net zero 1","2, 4","[1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1]",0,0
"T, XC, XCT, net zero 2","2, 4","[1, 1, -1, 1, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1, 1, -1]",0,0
"XC, XT, CT, net zero 1","2, 4","[1, 1, 1, 1, 1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1]",0,0
"XC, XT, CT, net zero 2","2, 4","[1, 1, -1, 1, 1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",0,0
No symmetries 1,"2, 4","[1, 1, 1, 1, 1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 1, -1]",0,0
No symmetries 2,"2, 4","[1, 1, 1, -1, -1, 1, 1, -1, -1, -1, -1, 1, 1, 1, -1, -1]",0,0
No symmetries 3,"2, 4","[1, 1, 1, 1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -1, -1, 1]",0,0
No symmetries 4,"2, 4","[1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, 1, 1, 1, -1]",0,0
